Geography,Industry,Age group,Year,Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate
Canada,All industries,15 years and over,2010,0.0,0.0,0.0,0.0
Canada,All industries,15 years and over,2011,0.009494565217391449,0.01563821544539934,-0.06009244992295848,-0.06893253073171757
Canada,All industries,15 years and over,2012,0.008759226259374309,0.011134599369893472,-0.020313613684960763,-0.02882039557857785
Canada,All industries,15 years and over,2013,0.010417667339118308,0.012797401355764126,-0.01964350672971993,-0.02975123559349735
Canada,All industries,15 years and over,2014,0.0034279496741072,0.005237388470921589,-0.02018552875695734,-0.023532809145623057
Canada,All industries,15 years and over,2015,0.006485063824187343,0.006607381259475353,0.004847383170491604,-0.0016271286207399926
Canada,All industries,15 years and over,2016,0.007823981339595276,0.006608969315499591,0.024119996985000336,0.016169505734269674
Canada,All industries,15 years and over,2017,0.013492265299450468,0.020629089528573674,-0.08059174210642528,-0.0928315001773371
Canada,All industries,15 years and over,2018,0.010327542331659112,0.015693803983348964,-0.06820365033621523,-0.07772844882228791
Canada,All industries,15 years and over,2019,0.02066186904520584,0.022490305902628016,-0.008419243986254266,-0.028492406656343894
Canada,All industries,15 years and over,2020,-0.01207068625649843,-0.051955166020562826,0.6439092011783054,0.6639947598569966
Canada,All industries,15 to 24 years,2010,0.0,0.0,0.0,0.0
Canada,All industries,15 to 24 years,2011,0.004662729250854758,0.012621359223300876,-0.04181431608788089,-0.04626134122979986
Canada,All industries,15 to 24 years,2012,-0.012651265126512712,-0.01458133589006072,-0.0007396449704142327,0.012064248158098811
Canada,All industries,15 to 24 years,2013,0.0006615598885795215,0.008229618518668769,-0.04539847026893662,-0.04602957883447112
Canada,All industries,15 to 24 years,2014,-0.002192143080831044,0.0010856453558503176,-0.02326182476092009,-0.02111597090961359
Canada,All industries,15 to 24 years,2015,-0.009624773329613534,-0.006386311603807537,-0.030960571579782936,-0.021543146148656933
Canada,All industries,15 to 24 years,2016,-0.015915492957746413,-0.015360983102918557,-0.019661387220098248,-0.0038064762076281955
Canada,All industries,15 to 24 years,2017,0.012523257478173733,0.02886115444617765,-0.09832869080779949,-0.10948089090028912
Canada,All industries,15 to 24 years,2018,0.007491695526185449,0.014005825785084358,-0.04294099474822355,-0.0500576734263497
Canada,All industries,15 to 24 years,2019,0.02069449316029459,0.019478986305682344,0.030664945125887577,0.009768301908558596
Canada,All industries,15 to 24 years,2020,-0.04621993127147761,-0.14382213301424318,0.7456937049796428,0.8302895627781519
Canada,All industries,25 to 54 years,2010,0.0,0.0,0.0,0.0
Canada,All industries,25 to 54 years,2011,0.0014800633853231382,0.008607266435986194,-0.0930152540428949,-0.09435566506316029
Canada,All industries,25 to 54 years,2012,0.0043693726255593646,0.006758437325785849,-0.030854830551340418,-0.03507096506220497
Canada,All industries,25 to 54 years,2013,0.002135197165865632,0.004029544312208921,-0.026878914405010446,-0.02895229271752031
Canada,All industries,25 to 54 years,2014,-0.0037665384553999814,-0.002494569644311717,-0.023866988468758343,-0.020176445370740592
Canada,All industries,25 to 54 years,2015,0.002282885567357118,0.0016246746397643452,0.012912087912087866,0.010604992360728538
Canada,All industries,25 to 54 years,2016,0.0021018645056622987,0.0005180335108234679,0.027257933279088764,0.025103305027614153
Canada,All industries,25 to 54 years,2017,0.007624212457133739,0.013665608501536308,-0.08607260726072619,-0.0929878605133716
Canada,All industries,25 to 54 years,2018,0.006228926914979338,0.011371248660235977,-0.08247869420771325,-0.088158488341876
Canada,All industries,25 to 54 years,2019,0.014480897957257488,0.016997565862462816,-0.03353274559193964,-0.047328287448168416
Canada,All industries,25 to 54 years,2020,-0.006947136632189488,-0.03858020922375538,0.6259977194982898,0.6373727718622437
Canada,All industries,55 years and over,2010,0.0,0.0,0.0,0.0
Canada,All industries,55 years and over,2011,0.04647227284561306,0.046499495704795946,0.04660587639311031,0.00012767041321981587
Canada,All industries,55 years and over,2012,0.04515487000870766,0.04948487869724172,-0.01839303000968051,-0.06080237660650112
Canada,All industries,55 years and over,2013,0.04954177576767438,0.048956585072358116,0.059171597633136175,0.009175263041262038
Canada,All industries,55 years and over,2014,0.03356675077254545,0.03583396226415081,-0.0013966480446927498,-0.03382790592973761
Canada,All industries,55 years and over,2015,0.033546369695806044,0.0331370948939147,0.04009324009324011,0.006334375108260293
Canada,All industries,55 years and over,2016,0.04471868365180476,0.04217326299754576,0.08561183325862842,0.03914273789369016
Canada,All industries,55 years and over,2017,0.03284643719039759,0.037407968817669834,-0.03715937241948808,-0.06777949469460243
Canada,All industries,55 years and over,2018,0.02506271828422446,0.030292751656838757,-0.06089193825042882,-0.08385307064774172
Canada,All industries,55 years and over,2019,0.03951819948652724,0.04120343404158322,0.009132420091324311,-0.029230637241572266
Canada,All industries,55 years and over,2020,-0.0044086418613238365,-0.03402733861944829,0.546606334841629,0.5534549614142008
Canada,Goods-producing sector,15 years and over,2010,0.0,0.0,0.0,0.0
Canada,Goods-producing sector,15 years and over,2011,0.007458803122289748,0.019125536480686822,-0.13430894308943098,-0.14071815718157177
Canada,Goods-producing sector,15 years and over,2012,0.012864029909484431,0.017424262364119647,-0.051840721262208844,-0.06388295887798057
Canada,Goods-producing sector,15 years and over,2013,0.006945287646616061,0.005173974906221623,0.034072900158478525,0.026940502969395652
Canada,Goods-producing sector,15 years and over,2014,-0.005619196913059232,-0.003911980440097773,-0.03065134099616862,-0.025173599495686094
Canada,Goods-producing sector,15 years and over,2015,0.0011641443538998875,-0.004935017957264365,0.09367588932806314,0.09240417317768168
Canada,Goods-producing sector,15 years and over,2016,-0.004699612403100684,-0.0054268799335270845,0.005782435851102274,0.010531542421591267
Canada,Goods-producing sector,15 years and over,2017,-0.00012169595482647289,0.012844946871002128,-0.17858426158821417,-0.17848428644904868
Canada,Goods-producing sector,15 years and over,2018,0.011659891433996261,0.01812089186750865,-0.09755030621172345,-0.10795149493464407
Canada,Goods-producing sector,15 years and over,2019,0.008349374398459952,0.006354752139348774,0.046049442559379594,0.037387902564435915
Canada,Goods-producing sector,15 years and over,2020,-0.02142840098312937,-0.051347203703237754,0.5296570898980537,0.5631529582861747
Canada,Goods-producing sector,15 to 24 years,2010,0.0,0.0,0.0,0.0
Canada,Goods-producing sector,15 to 24 years,2011,0.02522522522522519,0.038242894056847554,-0.06140350877192979,-0.08449727129775231
Canada,Goods-producing sector,15 to 24 years,2012,0.0008787346221441616,0.006222000995520061,-0.04112149532710285,-0.04196335529608708
Canada,Goods-producing sector,15 to 24 years,2013,-0.015144863915715567,-0.014098441751174806,-0.025341130604288442,-0.01035306240988143
Canada,Goods-producing sector,15 to 24 years,2014,0.005794517494985607,0.008780732563973936,-0.015999999999999903,-0.021668956348326995
Canada,Goods-producing sector,15 to 24 years,2015,-0.02570352315532909,-0.02337726933598616,-0.04674796747967491,-0.021599630938315295
